native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
polici,police,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
oficer,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Legislator,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
oficerët,officers,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polic,cop,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policët,cops,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polic,policeman,Police-involved matter reported,10,Crime - Non-Active,188297,AAEntity,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
police,policewoman,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policë,policemen,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
police,policewomen,Police-involved matter reported,10,Crime - Non-Active,188297,LegislativeCommittee,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polcia,policewomen,Police-involved matter reported,10,Crime - Non-Active,188297,Shipping,Police-involved matter reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_albania_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
fatkeqësi,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,Exec,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
viktima,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,AAEntity,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
plagosin,injure,Incident with casualties reported,6,Crime - Non-Active,188297,Pipeline,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
plagosur,injured,Incident with casualties reported,6,Crime - Non-Active,188297,CompanyKeyword,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
vrasje,murder,Incident with casualties reported,6,Crime - Non-Active,188297,Pipeline,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
i vrarë,murdered,Incident with casualties reported,6,Crime - Non-Active,188297,Wells,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
vrasin,kill,Incident with casualties reported,6,Crime - Non-Active,188297,space,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
vrasje,killing,Incident with casualties reported,6,Crime - Non-Active,188297,Person,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
vrarë,killed,Incident with casualties reported,6,Crime - Non-Active,188297,FTO,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
viktimë,victim,Incident with casualties reported,6,Crime - Non-Active,188297,Legislator,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
viktimat,victims,Incident with casualties reported,6,Crime - Non-Active,188297,ForeignMinister,Incident with casualties reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_albania_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
qitje,shooting,Shooting incident reported,4,Crime - Non-Active,188297,Legislator,Shooting incident reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_albania_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
e shtënë,shot,Shooting incident reported,4,Crime - Non-Active,188297,Organization,Shooting incident reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_albania_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
xhiruar,shoot,Shooting incident reported,4,Crime - Non-Active,188297,CompanyKeyword,Shooting incident reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_albania_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
revole,shooter,Shooting incident reported,4,Crime - Non-Active,188297,Media,Shooting incident reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_albania_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
goditje me thikë,stab,Stabbing incident reported,5,Crime - Non-Active,188297,IndustryTerm,Stabbing incident reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_albania_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
me thikë,stabbed,Stabbing incident reported,5,Crime - Non-Active,188297,IndustryTerm,Stabbing incident reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_albania_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
therrja,stabbing,Stabbing incident reported,5,Crime - Non-Active,188297,Pipeline,Stabbing incident reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,afbf08aaf2ba354759634ccdd6dce906,local_news_physical_safety_albania_caption_topic_threshold_mapping__afbf08aaf2ba354759634ccdd6dce906
protestë,Protest,Protest reported,6,Public Disruption,188108,Keyphrase,Protest reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_albania_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
protestues,Protester,Protest reported,6,Public Disruption,188108,space,Protest reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_albania_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
protestuesit,Protesters,Protest reported,6,Public Disruption,188108,FTO,Protest reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_albania_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
protestuar,Protesting,Protest reported,6,Public Disruption,188108,DiplomaticFacilities,Protest reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_albania_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
trazirat,rioting,Protest reported,6,Public Disruption,188108,Consulates,Protest reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_albania_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
trazirat,riots,Protest reported,6,Public Disruption,188108,Organization,Protest reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_albania_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
trazirë,riot,Protest reported,6,Public Disruption,188108,Diplomat,Protest reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,4f4526d365b26f19da61352bd66c2e4a,local_news_physical_safety_albania_caption_topic_threshold_mapping__4f4526d365b26f19da61352bd66c2e4a
zbrazje,evacuation,Evacuation reported,8,Crime - No Active Threat,188297,Media,Evacuation reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,55bf90fe6159d2f100c5509dbf3493a6,local_news_physical_safety_albania_caption_topic_threshold_mapping__55bf90fe6159d2f100c5509dbf3493a6
evakuoj,evacuate,Evacuation reported,8,Crime - No Active Threat,188297,News,Evacuation reported,,local_news_physical_safety_albania_caption_topic_threshold_mapping,55bf90fe6159d2f100c5509dbf3493a6,local_news_physical_safety_albania_caption_topic_threshold_mapping__55bf90fe6159d2f100c5509dbf3493a6
