keyword,caption,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Teilreisewarnung,travel warning,News,travel warning,,dgm_traveladvisories_context_ger,cb9ceb30a75f500407f2b14f8ca666cf,dgm_traveladvisories_context_ger__cb9ceb30a75f500407f2b14f8ca666cf
Wahlen,elections,IndustryTerm,elections,,dgm_traveladvisories_context_ger,b9dd4e28c0fe5673909bb6c0615f5f22,dgm_traveladvisories_context_ger__b9dd4e28c0fe5673909bb6c0615f5f22
COVID-19,covid-19 considerations,Keyphrase,covid-19 considerations,,dgm_traveladvisories_context_ger,f3072913b413d5470f879fde5eb025fe,dgm_traveladvisories_context_ger__f3072913b413d5470f879fde5eb025fe
Demonstrationen,demonstrations,LegislativeCommittee,demonstrations,,dgm_traveladvisories_context_ger,0922be6a2a3be4bdbebd28c620ab8f2d,dgm_traveladvisories_context_ger__0922be6a2a3be4bdbebd28c620ab8f2d
Ausschreitungen,riots,Media,riots,,dgm_traveladvisories_context_ger,905f4de8f77543fc0fc1a94c3bc706e6,dgm_traveladvisories_context_ger__905f4de8f77543fc0fc1a94c3bc706e6
Impfung,vaccination requirements,Wells,vaccination requirements,,dgm_traveladvisories_context_ger,129739bc95e39effaf7e8e72b4cd4408,dgm_traveladvisories_context_ger__129739bc95e39effaf7e8e72b4cd4408
terroristischen Anschläge,terrorist attacks,AAEntity,terrorist attacks,,dgm_traveladvisories_context_ger,270d17f30de961328f82eb43f735739d,dgm_traveladvisories_context_ger__270d17f30de961328f82eb43f735739d
Anschlägen,attacks,space,attacks,,dgm_traveladvisories_context_ger,eaf2b1fc39c8c9b08b35124e8d6df348,dgm_traveladvisories_context_ger__eaf2b1fc39c8c9b08b35124e8d6df348
Auseinandersetzungen,conflicts,Consulates,conflicts,,dgm_traveladvisories_context_ger,df8bdcca21507e0b978a2bcab6b77617,dgm_traveladvisories_context_ger__df8bdcca21507e0b978a2bcab6b77617
Terrorismus,terrorism,AAEntity,terrorism,,dgm_traveladvisories_context_ger,1b0471fb57c0eaeffe970689d8207ba6,dgm_traveladvisories_context_ger__1b0471fb57c0eaeffe970689d8207ba6
PCR-Tests,covid-19 testing requirements,ForeignMinistry,covid-19 testing requirements,,dgm_traveladvisories_context_ger,08ad3d0e1d7ab38eee2275428e430369,dgm_traveladvisories_context_ger__08ad3d0e1d7ab38eee2275428e430369
PCR-Test,covid-19 testing requirements,Exec,covid-19 testing requirements,,dgm_traveladvisories_context_ger,08ad3d0e1d7ab38eee2275428e430369,dgm_traveladvisories_context_ger__08ad3d0e1d7ab38eee2275428e430369
Quarantänevorschriften,quarantine regulations,ForeignMinistry,quarantine regulations,,dgm_traveladvisories_context_ger,1214d137156b0342478489a49bd5a444,dgm_traveladvisories_context_ger__1214d137156b0342478489a49bd5a444
Quarantäne,quarantine regulations,ForeignMinistry,quarantine regulations,,dgm_traveladvisories_context_ger,1214d137156b0342478489a49bd5a444,dgm_traveladvisories_context_ger__1214d137156b0342478489a49bd5a444
Ausgangssperren,curfews,AAEntity,curfews,,dgm_traveladvisories_context_ger,e3c788a5e0e20ab38d7f599ac283a790,dgm_traveladvisories_context_ger__e3c788a5e0e20ab38d7f599ac283a790
Ausnahmezustand,state of emergency,DiplomaticFacilities,state of emergency,,dgm_traveladvisories_context_ger,c5d7d8f9adbbf4c4984e75c621f40664,dgm_traveladvisories_context_ger__c5d7d8f9adbbf4c4984e75c621f40664
Masken,masking requirements,Legislator,masking requirements,,dgm_traveladvisories_context_ger,bd071674e7e3c555e2007765a284adc0,dgm_traveladvisories_context_ger__bd071674e7e3c555e2007765a284adc0
Visa,visa requirements,space,visa requirements,,dgm_traveladvisories_context_ger,e49c150d71590c00e0e0adf18bdfe447,dgm_traveladvisories_context_ger__e49c150d71590c00e0e0adf18bdfe447
Testergebnisse,covid-19 testing requirements,Pipeline,covid-19 testing requirements,,dgm_traveladvisories_context_ger,08ad3d0e1d7ab38eee2275428e430369,dgm_traveladvisories_context_ger__08ad3d0e1d7ab38eee2275428e430369
Vollgeimpfte,vaccination requirements,ForeignMinistry,vaccination requirements,,dgm_traveladvisories_context_ger,129739bc95e39effaf7e8e72b4cd4408,dgm_traveladvisories_context_ger__129739bc95e39effaf7e8e72b4cd4408
Einreise,entry requirements,CompanyKeyword,entry requirements,,dgm_traveladvisories_context_ger,dc45826d1d11ffdc34f1d278b61437f7,dgm_traveladvisories_context_ger__dc45826d1d11ffdc34f1d278b61437f7
Beschränkungen,restrictions,Exec,restrictions,,dgm_traveladvisories_context_ger,81e12dac658cfd4c590486dd6f7523cf,dgm_traveladvisories_context_ger__81e12dac658cfd4c590486dd6f7523cf
