native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
policija,police,Police-involved matter reported,10,Crime - Non-Active,188297,Organization,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policijas,police,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policijai,police,Police-involved matter reported,10,Crime - Non-Active,188297,Exec,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policiju,police,Police-involved matter reported,10,Crime - Non-Active,188297,News,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policijā,police,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
ments,cop,Police-involved matter reported,10,Crime - Non-Active,188297,FTO,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
menta,cop,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
mentam,cop,Police-involved matter reported,10,Crime - Non-Active,188297,Pipeline,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
mentu,cop,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
mentā,cop,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinistry,Police-involved matter reported,,local_news_physical_safety_latvia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_latvia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
