native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
polis,police,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polise,police,Police-involved matter reported,10,Crime - Non-Active,188297,Wells,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polisi,police,Police-involved matter reported,10,Crime - Non-Active,188297,Shipping,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polisten,police,Police-involved matter reported,10,Crime - Non-Active,188297,Media,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polisin,police,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polisler,police,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polislere,police,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polisleri,police,Police-involved matter reported,10,Crime - Non-Active,188297,Consulates,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polislerden,police,Police-involved matter reported,10,Crime - Non-Active,188297,Pipeline,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polislerin,police,Police-involved matter reported,10,Crime - Non-Active,188297,Exec,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
güvenlik güçleri,officer,Police-involved matter reported,10,Crime - Non-Active,188297,IndustryTerm,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
güvenlik güçlerine,officer,Police-involved matter reported,10,Crime - Non-Active,188297,FTO,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
güvenlik güçlerini,officer,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
güvenlik güçlerinden,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Organization,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
güvenlik güçlerinin,officer,Police-involved matter reported,10,Crime - Non-Active,188297,AAEntity,Police-involved matter reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
yaralı,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,CompanyKeyword,Incident with casualties reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
yaralıya,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
yaralıyı,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,space,Incident with casualties reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
yaralıdan,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,DiplomaticFacilities,Incident with casualties reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
yaralının,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,Media,Incident with casualties reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
yaralılar,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,Organization,Incident with casualties reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
yaralılara,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,LegislativeCommittee,Incident with casualties reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
yaralıları,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_cyprus_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_cyprus_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
