original_text,caption_text,threshold,internal_topic_1,internal_topic_2,threshold_value,topic_id_1,topic_id_2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
abalroamento aquático,Collision in water,Signal,Maritime - Safety,,general.alert3,188131,,Consulates,Collision in water,,portugal_emergency_response_topic_threshold_mapping,7bc6f74ed07c0b5e99e1001cd5214147,portugal_emergency_response_topic_threshold_mapping__7bc6f74ed07c0b5e99e1001cd5214147
abalroamento ferroviário,Train collision,Local Urgent,Rail - Safety,,general.alert2.local,188129,,ForeignMinister,Train collision,,portugal_emergency_response_topic_threshold_mapping,2fa41d98b9f23ecd8e345311193d7d32,portugal_emergency_response_topic_threshold_mapping__2fa41d98b9f23ecd8e345311193d7d32
acidente aéreo,Plane crash,National Urgent,Aviation - Safety,,general.alert2,188128,,Legislator,Plane crash,,portugal_emergency_response_topic_threshold_mapping,0db239816a948fa78bd29a6e6298ab36,portugal_emergency_response_topic_threshold_mapping__0db239816a948fa78bd29a6e6298ab36
acidentes com veículos fora de estrada,Off-road collision,Signal,Roadways - Safety,,general.alert3,188130,,Refinery,Off-road collision,,portugal_emergency_response_topic_threshold_mapping,a7a44c7598eecbcd92d003c6e7a43a34,portugal_emergency_response_topic_threshold_mapping__a7a44c7598eecbcd92d003c6e7a43a34
afundamento ou adornamento,Object sinking,Signal,Maritime - Safety,,general.alert3,188131,,LegislativeCommittee,Object sinking,,portugal_emergency_response_topic_threshold_mapping,8fb4538e865291493355a5548980fa44,portugal_emergency_response_topic_threshold_mapping__8fb4538e865291493355a5548980fa44
atropelamento ferroviário,Person hit by train,Local Urgent,Rail - Safety,,general.alert2.local,188129,,Legislator,Person hit by train,,portugal_emergency_response_topic_threshold_mapping,1643172fd7d3badcadcb6077291cfeae,portugal_emergency_response_topic_threshold_mapping__1643172fd7d3badcadcb6077291cfeae
atropelamento rodoviário,Person hit by vehicle,Signal,Roadways - Safety,,general.alert3,188130,,ForeignMinistry,Person hit by vehicle,,portugal_emergency_response_topic_threshold_mapping,38cb8d39b1237b1ecc131e7d49011dbb,portugal_emergency_response_topic_threshold_mapping__38cb8d39b1237b1ecc131e7d49011dbb
choque entre veícuclos ou composições ferroviárias,Vehicle and train collide,Local Urgent,Rail - Safety,Roadways - Safety,general.alert2.local,188129,188130,Pipeline,Vehicle and train collide,,portugal_emergency_response_topic_threshold_mapping,40ffded44a229b435a25d3fca027008e,portugal_emergency_response_topic_threshold_mapping__40ffded44a229b435a25d3fca027008e
colisão aquática,Collision in water,Signal,Maritime - Safety,,general.alert3,188131,,Legislator,Collision in water,,portugal_emergency_response_topic_threshold_mapping,7bc6f74ed07c0b5e99e1001cd5214147,portugal_emergency_response_topic_threshold_mapping__7bc6f74ed07c0b5e99e1001cd5214147
colisão rodoviária,Crash,Signal,Roadways - Safety,,general.alert3,188130,,Legislator,Crash,,portugal_emergency_response_topic_threshold_mapping,275c74140224026380b29b2412d25121,portugal_emergency_response_topic_threshold_mapping__275c74140224026380b29b2412d25121
descarrilamento ferroviário,Derailment,Local Urgent,Rail - Safety,,general.alert2.local,188129,,Media,Derailment,,portugal_emergency_response_topic_threshold_mapping,e1eb522ed86d1d694f87059716880f63,portugal_emergency_response_topic_threshold_mapping__e1eb522ed86d1d694f87059716880f63
despiste,Vehicle reported off road,Signal,Roadways - Safety,,general.alert3,188130,,Keyphrase,Vehicle reported off road,,portugal_emergency_response_topic_threshold_mapping,7a1e5595e8d7961c0fa7b3a988f00537,portugal_emergency_response_topic_threshold_mapping__7a1e5595e8d7961c0fa7b3a988f00537
encalhe,Boat stranded,Signal,Maritime - Safety,,general.alert3,188131,,Keyphrase,Boat stranded,,portugal_emergency_response_topic_threshold_mapping,b9c8562bab944f236d78924e4e1cc9a0,portugal_emergency_response_topic_threshold_mapping__b9c8562bab944f236d78924e4e1cc9a0
transporte suspenso,Transportation suspended,Signal,Roadways - Safety,,general.alert3,188130,,space,Transportation suspended,,portugal_emergency_response_topic_threshold_mapping,31a187d730a03955cabca6575e13595f,portugal_emergency_response_topic_threshold_mapping__31a187d730a03955cabca6575e13595f
"biológicos, dentro de uma instalação",Hazmat incident,Local Urgent,Public Health - Hazardous Materials,,general.alert2.local,188122,,Media,Hazmat incident,,portugal_emergency_response_topic_threshold_mapping,a0413b766b74d299411cc1a06f438afc,portugal_emergency_response_topic_threshold_mapping__a0413b766b74d299411cc1a06f438afc
"biológicos, em trânsito",Hazmat incident,Local Urgent,Public Health - Hazardous Materials,,general.alert2.local,188122,,FTO,Hazmat incident,,portugal_emergency_response_topic_threshold_mapping,a0413b766b74d299411cc1a06f438afc,portugal_emergency_response_topic_threshold_mapping__a0413b766b74d299411cc1a06f438afc
fuga de gás em conduta,Gas leak,Signal,Infrastructure - Utilities - Gas & Electricity,Fires and Collapses,general.alert3,188241,188118,AAEntity,Gas leak,,portugal_emergency_response_topic_threshold_mapping,d4ec58e7abcdc2ec1f42ce351f44193f,portugal_emergency_response_topic_threshold_mapping__d4ec58e7abcdc2ec1f42ce351f44193f
fuga de gás em garrafa,Gas leak,Signal,Infrastructure - Utilities - Gas & Electricity,Fires and Collapses,general.alert3,188241,188118,Person,Gas leak,,portugal_emergency_response_topic_threshold_mapping,d4ec58e7abcdc2ec1f42ce351f44193f,portugal_emergency_response_topic_threshold_mapping__d4ec58e7abcdc2ec1f42ce351f44193f
fuga de gás em reservatório,Gas leak,Signal,Infrastructure - Utilities - Gas & Electricity,Fires and Collapses,general.alert3,188241,188118,Person,Gas leak,,portugal_emergency_response_topic_threshold_mapping,d4ec58e7abcdc2ec1f42ce351f44193f,portugal_emergency_response_topic_threshold_mapping__d4ec58e7abcdc2ec1f42ce351f44193f
queda de satélite,Satellite crash,Local Urgent,Space,,general.alert2.local,188261,,News,Satellite crash,,portugal_emergency_response_topic_threshold_mapping,0bc4de801a3b8a8e8883695b84db2619,portugal_emergency_response_topic_threshold_mapping__0bc4de801a3b8a8e8883695b84db2619
"químicos, dentro de uma instalação",Chemical incident,Local Urgent,Public Health - Hazardous Materials,,general.alert2.local,188122,,DiplomaticFacilities,Chemical incident,,portugal_emergency_response_topic_threshold_mapping,52bf1bf75be8f5d61065a6c2bf62252e,portugal_emergency_response_topic_threshold_mapping__52bf1bf75be8f5d61065a6c2bf62252e
"químicos, em trânsito",Chemical incident,Local Urgent,Public Health - Hazardous Materials,,general.alert2.local,188122,,Media,Chemical incident,,portugal_emergency_response_topic_threshold_mapping,52bf1bf75be8f5d61065a6c2bf62252e,portugal_emergency_response_topic_threshold_mapping__52bf1bf75be8f5d61065a6c2bf62252e
"radiológicos, dentro de uma instalação",Radiological hazard,Local Urgent,Public Health - Hazardous Materials,,general.alert2.local,188122,,Diplomat,Radiological hazard,,portugal_emergency_response_topic_threshold_mapping,b8ef32bd86d477ed828c5a602c82bf08,portugal_emergency_response_topic_threshold_mapping__b8ef32bd86d477ed828c5a602c82bf08
"radiológicos, em trânsito",Radiological hazard,Local Urgent,Public Health - Hazardous Materials,,general.alert2.local,188122,,Consulates,Radiological hazard,,portugal_emergency_response_topic_threshold_mapping,b8ef32bd86d477ed828c5a602c82bf08,portugal_emergency_response_topic_threshold_mapping__b8ef32bd86d477ed828c5a602c82bf08
